Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_TP4,Chrome 119.0.0.0,,,2023-11-19 23:51:26,2023-11-19 23:53:29,"2m - 2,759s",PASSED
,,,,,,,
Test Cases/login -logout,Chrome 119.0.0.0,,,2023-11-19 23:51:27,2023-11-19 23:51:41,"14,417s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-19 23:51:27,2023-11-19 23:51:30,"3,020s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-19 23:51:30,2023-11-19 23:51:32,"1,908s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-19 23:51:32,2023-11-19 23:51:33,"1,482s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 119.0.0.0,,,2023-11-19 23:51:34,2023-11-19 23:51:34,"0,827s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 23:51:34,2023-11-19 23:51:36,"2,052s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Open Menu""))",Chrome 119.0.0.0,,,2023-11-19 23:51:36,2023-11-19 23:51:38,"1,906s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_Logout""))",Chrome 119.0.0.0,,,2023-11-19 23:51:38,2023-11-19 23:51:40,"2,061s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-19 23:51:40,2023-11-19 23:51:41,"0,681s",PASSED
,,,,,,,
Test Cases/login no valido - clave en blanco,Chrome 119.0.0.0,,,2023-11-19 23:51:41,2023-11-19 23:51:48,"7,173s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-19 23:51:41,2023-11-19 23:51:43,"1,565s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-19 23:51:43,2023-11-19 23:51:45,"1,973s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-19 23:51:45,2023-11-19 23:51:46,"1,545s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 23:51:46,2023-11-19 23:51:47,"0,390s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 23:51:47,2023-11-19 23:51:47,"0,493s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-19 23:51:47,2023-11-19 23:51:48,"0,831s",PASSED
,,,,,,,
Test Cases/login no valido - clave erronea,Chrome 119.0.0.0,,,2023-11-19 23:51:48,2023-11-19 23:52:26,"37,714s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-19 23:51:49,2023-11-19 23:51:50,"1,521s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-19 23:51:50,2023-11-19 23:51:53,"2,490s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-19 23:51:53,2023-11-19 23:51:54,"1,553s",PASSED
