Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_TP4,Chrome 119.0.0.0,,,2023-11-19 19:13:02,2023-11-19 19:14:27,"1m - 25,342s",PASSED
,,,,,,,
Test Cases/login -logout,Chrome 119.0.0.0,,,2023-11-19 19:13:02,2023-11-19 19:13:13,"11,314s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-19 19:13:03,2023-11-19 19:13:06,"2,928s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-19 19:13:06,2023-11-19 19:13:09,"3,516s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-19 19:13:09,2023-11-19 19:13:11,"1,651s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 119.0.0.0,,,2023-11-19 19:13:11,2023-11-19 19:13:11,"0,543s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 19:13:11,2023-11-19 19:13:12,"0,528s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Open Menu""))",Chrome 119.0.0.0,,,2023-11-19 19:13:12,2023-11-19 19:13:12,"0,477s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_Logout""))",Chrome 119.0.0.0,,,2023-11-19 19:13:12,2023-11-19 19:13:13,"0,447s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-19 19:13:13,2023-11-19 19:13:13,"0,752s",PASSED
,,,,,,,
Test Cases/login no valido - clave en blanco,Chrome 119.0.0.0,,,2023-11-19 19:13:13,2023-11-19 19:13:21,"7,899s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-19 19:13:14,2023-11-19 19:13:15,"1,548s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-19 19:13:15,2023-11-19 19:13:17,"1,816s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-19 19:13:17,2023-11-19 19:13:20,"2,397s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 19:13:20,2023-11-19 19:13:20,"0,420s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 19:13:20,2023-11-19 19:13:20,"0,498s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-19 19:13:20,2023-11-19 19:13:21,"0,874s",PASSED
,,,,,,,
Test Cases/login no valido - clave erronea,Chrome 119.0.0.0,,,2023-11-19 19:13:21,2023-11-19 19:14:00,"38,980s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-19 19:13:22,2023-11-19 19:13:23,"1,483s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-19 19:13:23,2023-11-19 19:13:27,"3,707s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-19 19:13:27,2023-11-19 19:13:29,"1,584s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""aeHFOx8jV/A="")",Chrome 119.0.0.0,,,2023-11-19 19:13:29,2023-11-19 19:13:29,"0,444s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 19:13:29,2023-11-19 19:13:29,"0,436s",PASSED
