Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_TP4,Chrome 119.0.0.0,,,2023-11-19 23:44:36,2023-11-19 23:46:13,"1m - 36,911s",PASSED
,,,,,,,
Test Cases/login -logout,Chrome 119.0.0.0,,,2023-11-19 23:44:36,2023-11-19 23:44:48,"11,720s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-19 23:44:37,2023-11-19 23:44:40,"3,388s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-19 23:44:40,2023-11-19 23:44:43,"3,133s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-19 23:44:43,2023-11-19 23:44:45,"1,655s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 119.0.0.0,,,2023-11-19 23:44:45,2023-11-19 23:44:45,"0,561s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 23:44:45,2023-11-19 23:44:46,"0,529s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Open Menu""))",Chrome 119.0.0.0,,,2023-11-19 23:44:46,2023-11-19 23:44:46,"0,542s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_Logout""))",Chrome 119.0.0.0,,,2023-11-19 23:44:46,2023-11-19 23:44:47,"0,555s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-19 23:44:47,2023-11-19 23:44:48,"0,901s",PASSED
,,,,,,,
Test Cases/login no valido - clave en blanco,Chrome 119.0.0.0,,,2023-11-19 23:44:48,2023-11-19 23:44:56,"7,932s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-19 23:44:48,2023-11-19 23:44:50,"1,477s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-19 23:44:50,2023-11-19 23:44:53,"2,853s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-19 23:44:53,2023-11-19 23:44:54,"1,652s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 23:44:54,2023-11-19 23:44:55,"0,415s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-19 23:44:55,2023-11-19 23:44:55,"0,507s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-19 23:44:55,2023-11-19 23:44:56,"0,692s",PASSED
,,,,,,,
Test Cases/login no valido - clave erronea,Chrome 119.0.0.0,,,2023-11-19 23:44:56,2023-11-19 23:45:07,"11,234s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-19 23:44:56,2023-11-19 23:44:58,"1,460s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-19 23:44:58,2023-11-19 23:45:00,"2,373s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-19 23:45:00,2023-11-19 23:45:02,"1,637s",PASSED
