Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_TP4,Chrome 119.0.0.0,,,2023-11-20 00:23:30,2023-11-20 00:26:24,"2m - 53,961s",PASSED
,,,,,,,
Test Cases/login -logout,Chrome 119.0.0.0,,,2023-11-20 00:23:30,2023-11-20 00:23:40,"9,824s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-20 00:23:31,2023-11-20 00:23:34,"2,779s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-20 00:23:34,2023-11-20 00:23:36,"2,279s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-20 00:23:36,2023-11-20 00:23:38,"1,632s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 119.0.0.0,,,2023-11-20 00:23:38,2023-11-20 00:23:38,"0,495s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-20 00:23:38,2023-11-20 00:23:39,"0,501s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Open Menu""))",Chrome 119.0.0.0,,,2023-11-20 00:23:39,2023-11-20 00:23:39,"0,418s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_Logout""))",Chrome 119.0.0.0,,,2023-11-20 00:23:39,2023-11-20 00:23:39,"0,370s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-20 00:23:39,2023-11-20 00:23:40,"0,917s",PASSED
,,,,,,,
Test Cases/login no valido - clave en blanco,Chrome 119.0.0.0,,,2023-11-20 00:23:40,2023-11-20 00:23:48,"7,258s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-20 00:23:41,2023-11-20 00:23:42,"1,562s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-20 00:23:42,2023-11-20 00:23:44,"2,167s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-20 00:23:44,2023-11-20 00:23:46,"1,551s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-20 00:23:46,2023-11-20 00:23:46,"0,408s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-20 00:23:46,2023-11-20 00:23:47,"0,493s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-20 00:23:47,2023-11-20 00:23:48,"0,698s",PASSED
,,,,,,,
Test Cases/login no valido - clave erronea,Chrome 119.0.0.0,,,2023-11-20 00:23:48,2023-11-20 00:24:26,"38,052s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-20 00:23:48,2023-11-20 00:23:50,"1,667s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-20 00:23:50,2023-11-20 00:23:52,"2,672s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-20 00:23:52,2023-11-20 00:23:54,"1,549s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""aeHFOx8jV/A="")",Chrome 119.0.0.0,,,2023-11-20 00:23:54,2023-11-20 00:23:54,"0,417s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-20 00:23:54,2023-11-20 00:23:55,"0,428s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-20 00:23:55,2023-11-20 00:24:25,"30,195s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-20 00:24:25,2023-11-20 00:24:26,"0,757s",PASSED
,,,,,,,
Test Cases/login no Valido - usuario erroneo - verify Element no present,Chrome 119.0.0.0,,,2023-11-20 00:24:26,2023-11-20 00:24:34,"8,353s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-20 00:24:26,2023-11-20 00:24:28,"1,555s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-20 00:24:28,2023-11-20 00:24:29,"1,484s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-20 00:24:29,2023-11-20 00:24:31,"2,259s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 119.0.0.0,,,2023-11-20 00:24:31,2023-11-20 00:24:32,"0,433s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-20 00:24:32,2023-11-20 00:24:32,"0,484s",PASSED
"verifyElementNotPresent(findTestObject(""Page_Swag Labs/input_Swag Labs_login-button""), 5)",Chrome 119.0.0.0,,,2023-11-20 00:24:32,2023-11-20 00:24:33,"1,014s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-20 00:24:33,2023-11-20 00:24:34,"0,759s",PASSED
,,,,,,,
Test Cases/login no Valido - usuario incorrecto,Chrome 119.0.0.0,,,2023-11-20 00:24:34,2023-11-20 00:24:42,"7,710s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-20 00:24:34,2023-11-20 00:24:36,"1,586s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-20 00:24:36,2023-11-20 00:24:38,"2,353s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user2"")",Chrome 119.0.0.0,,,2023-11-20 00:24:38,2023-11-20 00:24:40,"1,599s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 119.0.0.0,,,2023-11-20 00:24:40,2023-11-20 00:24:40,"0,429s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-20 00:24:40,2023-11-20 00:24:41,"0,423s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-20 00:24:41,2023-11-20 00:24:42,"0,955s",PASSED
,,,,,,,
Test Cases/login Valido,Chrome 119.0.0.0,,,2023-11-20 00:24:42,2023-11-20 00:24:49,"7,649s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-20 00:24:42,2023-11-20 00:24:44,"1,723s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-20 00:24:44,2023-11-20 00:24:46,"2,225s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.0.0,,,2023-11-20 00:24:46,2023-11-20 00:24:48,"1,664s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 119.0.0.0,,,2023-11-20 00:24:48,2023-11-20 00:24:48,"0,437s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.0.0,,,2023-11-20 00:24:48,2023-11-20 00:24:49,"0,462s",PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-20 00:24:49,2023-11-20 00:24:49,"0,755s",PASSED
,,,,,,,
Test Cases/checkout,Chrome 119.0.0.0,,,2023-11-20 00:24:50,2023-11-20 00:25:04,"13,932s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-20 00:24:50,2023-11-20 00:24:52,"1,587s",PASSED
